log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.386329955,-1.47472224,-2.940311519,-1.587466427,-7.993196803,-7.515168378,-3.418791384,-1.41591278,0.14625351,-3.476137222,-5.940582594,-0.719422061,-3.832917906,-0.515503026,20.28702403
-6.500638227,-1.70337579,-2.575401158,-1.608191919,-8.066997853,-7.583888414,-3.450763319,-1.555020528,0.158288734,-3.402758916,-5.953798931,-0.563496386,-3.271824389,-0.400238021,21.21783921
-6.636018486,-1.498290719,-2.768882216,-1.731510861,-8.286324271,-7.437447738,-3.374609612,-1.347137202,-0.163302422,-3.610008144,-6.067765678,0.000312789,-2.47203691,-0.201621918,106.9527878
-7.183939268,-2.155380204,-2.844889747,-1.964405271,-8.850109243,-7.958520315,-3.951281901,-1.902398974,-0.388285989,-3.85356667,-6.318402716,-0.276630375,-3.217113607,-0.453527015,87.86256276
-6.086771013,-1.380984007,-2.05944752,-1.257018649,-7.679559669,-7.26997851,-3.272647036,-1.31486235,0.639204324,-3.056214621,-5.674447652,-0.523476802,-2.942934262,-0.472735321,17.20258982
-8.097509882,-2.192643444,-3.202862239,-2.340834249,-9.670872102,-8.284545146,-4.378620491,-2.310495532,-0.534413858,-4.095649583,-6.703657622,0.735694799,-2.043196653,-0.375933232,90.75989586
-8.400457342,-2.44230874,-4.395382925,-2.763289303,-9.240001234,-8.71427707,-4.332022944,-2.584212502,-1.438454309,-4.752693785,-7.023163634,0.166368594,-2.291357289,-0.182400311,205.7283678
-7.91524784,-2.670632834,-3.689049745,-2.500248095,-8.973787737,-8.356844539,-4.135593878,-2.257233035,-1.167835247,-4.411667151,-6.758696385,0.321966737,-1.264091163,-0.185026122,179.2071437
-7.782872009,-2.246106437,-2.914456962,-2.207700052,-9.316187324,-8.20430518,-4.215888448,-2.184427604,-0.39817508,-4.039637267,-6.587197899,-0.032817367,-3.376423091,-0.388976022,97.60553487
-8.187486945,-2.281369135,-3.526032451,-2.458276496,-9.666153459,-8.345719083,-4.354261725,-2.332998805,-0.719900326,-4.216829238,-6.79093892,-0.177545392,-3.47475456,-0.358087956,75.94292818
-7.780008676,-2.241704389,-3.400577767,-2.301337128,-9.187734191,-8.302464023,-4.211211956,-2.253857642,-0.633454416,-4.143792003,-6.628973077,0.144919295,-2.865128626,-0.196392971,102.9601331
-6.762598294,-1.734174975,-2.155709618,-1.57900991,-8.565088812,-7.508928363,-3.589075769,-1.49498558,0.344852517,-3.387365253,-6.010090784,-0.145927819,-2.507048881,-0.313662991,122.5751046
-8.896475995,-2.62300336,-4.107691802,-2.845027237,-9.527725509,-8.967730191,-4.642075038,-3.004155505,-0.980535817,-4.443066573,-7.097104154,0.114734825,-1.833537564,-0.267436994,243.9786372
-7.530990722,-1.786127501,-2.806734895,-1.934613972,-9.600570814,-7.757348721,-3.893035683,-1.806768623,0.03520058,-3.620458231,-6.315835428,1.061418681,-1.110492744,0.168252778,90.09920972
-7.002041804,-2.116360683,-2.666811428,-1.862263422,-8.426547284,-7.845802423,-3.867175249,-1.796644899,-0.072770391,-3.730757836,-6.222472374,-0.065910296,-2.565292487,-0.266132729,131.1258199
-8.833978529,-2.620946614,-4.499146719,-2.893641156,-9.670402099,-8.946392943,-4.66071554,-2.878195402,-1.260872431,-4.731062841,-7.177754658,0.239773484,-1.733488711,-0.175320418,242.4092536
-7.289926303,-2.176895431,-3.718407785,-2.112584684,-8.40046727,-8.374127214,-4.06179514,-2.250376031,-0.583128314,-4.110520193,-6.418116121,-0.486584694,-2.667836512,-0.464037241,144.9476734
-7.636587391,-2.125171643,-3.096726659,-2.02790968,-9.414936215,-8.087370599,-4.132267424,-2.134080872,-0.10078487,-3.815198857,-6.445964346,-0.337918773,-3.779348198,-0.457917192,101.577621
