log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(tc),log10(Tva),log10(TP),log10(Epi),M
-3.113495845,-2.433036696,-1.119353802,-3.757688385,-0.464447063,-4.191316827,1.536001463,0.342276516,0.932128808,-0.733761277,-0.515503026,-3.847257122,1.307218344,3
-2.708328003,-1.769485489,-0.5710676,-2.7187111,0.053589546,-3.192344442,2.054452166,0.888961732,1.186351121,-0.543129994,-0.400238021,-3.251457998,1.326701154,3.3
-2.570831796,-1.829044291,-0.767787177,-3.435182133,-0.30007714,-4.051469954,1.700250166,0.598912667,0.858863771,-0.111362089,-0.263077246,-2.682193886,2.029192109,5.5
-2.999730512,-2.134441306,-0.882734423,-4.103556715,-0.439556216,-4.373238786,1.560986401,0.297213579,0.678720538,-0.33432399,-0.453527015,-3.334054501,1.943803867,4.8
-2.419457459,-1.492683515,-0.221768326,-2.635459435,0.171895613,-2.999535998,2.172314961,0.958217729,1.374313862,-0.538424894,-0.472735321,-2.957882353,1.235593834,3.3
-2.778891452,-2.838622842,-1.664509741,-4.833816797,-1.317356713,-6.098663119,0.682799666,-0.08621568,0.335659055,0.697233271,-0.375933232,-2.081658181,1.957893989,3.6
-2.457725883,-1.716976947,-0.736396768,-2.793052545,-0.033176611,-3.534000311,1.966969129,0.955156078,1.061369374,0.162481822,-0.182400311,-2.295244061,2.313294181,5.2
-1.5860579,-1.197945582,-0.214739592,-1.979886033,0.204296478,-2.966636865,2.204465097,1.31515328,1.366997706,0.299163786,-0.185026122,-1.286894115,2.253355318,6.7
-3.402721844,-2.825353913,-1.638198022,-5.697072063,-1.318801683,-6.058341061,0.681400191,-0.523391226,0.281538545,-0.110944549,-0.388976022,-3.513666394,1.989474446,3.7
-3.297209169,-2.660285929,-1.504018105,-4.983938271,-0.981554793,-5.447997481,1.019042036,-0.151995824,0.35693459,-0.141690776,-0.358087956,-3.438899945,1.880487338,4.3
-3.01004792,-2.444585115,-1.450012275,-4.82754383,-0.964500023,-5.418835125,1.036084378,-0.08335551,0.476911366,0.124101862,-0.196392971,-2.885946058,2.012669095,4.5
-2.361121063,-1.576722628,-0.464879768,-2.074397688,0.231415814,-3.00897848,2.231843378,1.29084671,1.340937781,-0.167689912,-0.313662991,-2.528810975,2.088402273,5.5
-1.948272389,-1.311041285,-0.245424423,-1.668700444,0.403571068,-2.63597921,2.404285306,1.511424735,1.543865403,0.129079032,-0.267436994,-1.819193358,2.387351801,5.9
-2.171911425,-2.395052859,-1.81002399,-4.387604842,-1.185035993,-5.855675874,0.815483947,0.157321818,0.324380849,1.01015931,0.213150999,-1.161752115,1.954720982,3.6
-2.499382192,-1.729455259,-0.665142662,-2.482891633,0.179199744,-3.085823222,2.179424839,1.078618721,1.167162998,-0.055603291,-0.266132729,-2.554985483,2.117688217,5.5
-1.973262195,-1.443465645,-0.469965358,-1.830289117,0.438951678,-2.609739863,2.439480723,1.437656358,1.46128114,0.240373016,-0.175320418,-1.732889179,2.384549194,5.9
-2.181251818,-1.197141211,0.065075898,-1.336063818,0.820877106,-1.800955107,2.821303604,1.648186082,1.755179188,-0.485822486,-0.464037241,-2.667074305,2.161211249,4.8
-3.441429425,-3.017676614,-1.761579554,-4.963652398,-0.963894495,-5.377569339,1.036349509,-0.144228456,0.330529771,-0.359855965,-0.457917192,-3.80128539,2.006798037,3.6
-3.548428407,-2.984386957,-1.791129558,-5.007744152,-0.985168515,-5.432734198,1.014991859,-0.170420978,0.151906584,-0.058762716,-0.39507753,-3.607191123,1.901416294,3.5
-3.524045194,-3.240310775,-2.16058689,-5.486144429,-1.242071759,-5.963072534,0.758326819,-0.40151575,-0.033043709,0.150556168,-0.281544016,-3.373489026,1.949732545,3.3
-3.182241913,-3.083366148,-2.094365613,-5.43182936,-1.290797414,-6.039833318,0.709538852,-0.373784645,0.064639879,0.406127114,-0.190820667,-2.776114799,1.968385573,3.4
-1.60416813,-1.102728802,-0.178510336,-1.868156892,0.297945738,-2.670443216,2.298745958,1.318570245,1.363059798,0.353303311,-0.126038597,-1.250864819,2.290895729,6.7
-1.29147931,-0.823132004,0.031693943,-0.877940843,0.961462008,-1.553201693,2.961875792,1.916207899,1.946138356,0.267906908,-0.056646079,-1.023572402,2.334622343,6.7
