log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGA)
-3.113495845,-1.6162357,0.39636245,-2.755394652,0.795394939,-1.860488151,2.795922178,0.932128808,-0.422353398,1.307218344,0.6623701
-2.708328003,-1.215999671,0.454143858,-2.128820945,0.831298773,-1.709599145,2.831600274,1.186351121,-0.060134942,1.326701154,0.723899826
-2.570831796,-1.5616507,0.320535766,-2.949894532,0.636261841,-2.172024164,2.636671918,0.858863771,-0.056673497,2.029192109,0.665391192
-2.999730512,-1.601050735,0.057070814,-3.317413243,0.356998302,-2.737478349,2.357076276,0.678720538,-0.365708266,1.943803867,0.494932516
-2.419457459,-1.00179685,0.759492584,-1.833715882,1.055189815,-1.266373162,3.055723415,1.374313862,0.168563467,1.235593834,0.848597647
-2.778891452,-2.28209058,-0.457402102,-3.999576505,0.106593985,-3.256333242,2.106914148,0.335659055,0.189230489,1.957893989,0.451309114
-2.457725883,-1.59003681,-0.119954589,-2.546646669,0.525592962,-2.345916205,2.525841886,1.061369374,0.236878234,2.313294181,0.329325273
-1.5860579,-1.113813627,0.149975629,-1.900969695,0.543526247,-2.263884394,2.543874145,1.366997706,0.868526526,2.253355318,0.969909258
-3.402721844,-2.178355013,-0.342211856,-4.094105402,0.175919928,-3.099803239,2.175993147,0.281538545,-0.839853921,1.989474446,0.931856973
-3.297209169,-2.271903875,-0.460676149,-3.940783211,0.093796473,-3.269952583,2.094557808,0.35693459,-0.574178315,1.880487338,0.591137487
-3.01004792,-2.144172662,-0.277061678,-3.714286763,0.302042342,-2.853921829,2.302622439,0.476911366,-0.474394488,2.012669095,0.653663471
-2.361121063,-1.395058312,0.205636852,-1.981833165,0.657908271,-2.144001563,2.658330721,1.340937781,0.473414207,2.088402273,1.066919694
-1.948272389,-1.244908485,0.044350321,-1.598728,0.662285491,-2.149070147,2.662873393,1.543865403,0.807681882,2.387351801,0.324616065
-2.171911425,-2.09000184,-0.315121053,-4.052130566,-0.008388755,-3.497295527,1.991754041,0.324380849,0.408718351,1.954720982,0.318328009
-2.499382192,-1.565945762,0.093420488,-2.335625391,0.705086572,-2.056442582,2.705408679,1.167162998,0.235726469,2.117688217,0.924783769
-1.973262195,-1.3481225,-0.177594685,-1.789036816,0.579189577,-2.326134559,2.579597969,1.46128114,0.728056449,2.384549194,0.197836332
-2.181251818,-0.89557056,0.478466587,-1.162006761,1.086384783,-1.315508628,3.086802095,1.755179188,0.578885476,2.161211249,0.754400077
-3.441429425,-2.076680076,-0.279823719,-3.98381077,0.141267191,-3.130925296,2.14137038,0.330529771,-0.368004182,2.006798037,0.554009673
-3.548428407,-2.326808432,-0.295283829,-4.387191323,0.131240706,-3.202032488,2.131505928,0.151906584,-0.646721822,1.901416294,0.680308317
-3.524045194,-2.504026272,-0.642667677,-4.7537209,-0.093052721,-3.663471095,1.907081948,-0.033043709,-0.725266465,1.949732545,0.556770845
-3.182241913,-2.461802149,-0.628657092,-4.567332775,-0.039108087,-3.572458077,1.961161579,0.064639879,-0.400020847,1.968385573,0.664527078
-1.60416813,-1.101175524,0.133215997,-1.798283067,0.436452871,-2.412773992,2.437248008,1.363059798,0.784601584,2.290895729,0.899775015
-1.29147931,-0.813579024,0.109587313,-0.821161775,1.028683335,-1.419431084,3.029183166,1.946138356,1.450251289,2.334622343,0.610157668
-2.798977916,-1.453896926,-0.178743133,-2.181773752,0.549055599,-2.312598549,2.549371855,1.2388433,0.114329644,2.119784057,0.391612276
-3.308976281,-1.623655864,0.244095975,-3.025831396,0.42699651,-2.33180679,2.427539226,0.65567937,-0.617432639,1.559118739,0.399317383
-2.814751846,-1.05283184,0.909907333,-2.118988616,0.91591013,-1.388818943,2.91621475,1.146000488,-0.357056277,1.542743896,0.723250167
-3.360505202,-1.724546415,0.296791045,-3.23225238,0.478458765,-2.354187974,2.47890619,0.61627639,-0.670932169,1.557161776,0.447321575
-3.243338061,-1.795211624,0.162998838,-2.805782479,0.539676246,-2.221036492,2.540109481,0.788214679,-0.624536805,1.541569033,0.440039164
-2.998669966,-1.605547114,0.21454721,-2.741657941,0.564590268,-2.288342445,2.565290202,0.903465733,-0.229064712,1.578078247,0.565906204
-3.308437236,-1.498681731,0.377540005,-2.728131547,0.542286557,-2.094188841,2.542588663,0.788410883,-0.578886903,1.56637976,0.61226822
-2.793602679,-1.44817827,0.438904208,-2.491891998,0.757814414,-1.780593052,2.758693812,0.980557554,-0.355918891,1.576770816,0.71926314
-3.220384455,-1.483947992,0.445029722,-2.277426467,0.705091143,-1.728305698,2.706515815,0.989302845,-0.505560871,1.598443343,0.801938693
-2.302203374,-1.5555055,0.395439582,-2.633987219,0.781533074,-1.872304143,2.782193433,0.960369353,0.03005745,1.6489948,0.966541666
-3.206941867,-2.11476672,-0.075747852,-3.498678125,0.260555979,-2.856273842,2.261388336,0.457581418,-0.820851264,1.653859725,0.362845783
-1.544811732,-0.42711444,1.357588339,0.246614381,1.909655611,0.530653469,3.90981725,2.305617917,1.115927225,1.186404644,1.957002158
-2.470162607,-0.79019451,1.079054791,-0.962321601,1.437825731,-0.367850101,3.437981854,1.718170585,0.325567701,1.18451082,1.463635398
-2.458463525,-0.962582706,1.003748109,-1.661553819,1.168499232,-0.762819552,3.169573482,1.32341855,-0.010598853,1.619843743,1.261020931
-1.481383224,-1.195266603,-0.249082994,-2.068423054,0.137597606,-3.096633924,2.138825424,1.283676728,1.229808263,2.567711278,0.596361087
-2.563569804,-1.806526896,0.077578011,-3.307432899,0.271479659,-2.901996711,2.271858868,0.670080203,0.138175595,1.878393432,0.348754755
-2.771526312,-1.221543919,0.567128052,-2.246615137,0.834797344,-1.695699854,2.83504403,1.12979959,0.030793688,1.384459972,0.582683685
-2.977846198,-1.339541287,0.541398191,-2.579255613,0.731216371,-1.90476071,2.731613963,0.961791677,-0.319436537,1.378897739,0.513105277
-2.318927944,-1.297846971,0.018916283,-1.69202059,0.641868501,-1.904812591,2.642630088,1.306670857,0.253393355,1.550118719,0.718887369
-2.653135707,-1.207771438,0.780012174,-1.712202794,0.957916006,-1.467610923,2.958243089,1.370710855,0.212436423,1.424989117,0.880593302
-2.890850716,-1.294446779,0.658592598,-2.60415332,0.66354453,-2.119344731,2.664004936,1.012373728,-0.260338144,1.481911533,0.241454089
-1.776812311,-0.708508489,0.858032538,-0.243511038,1.416234267,-0.496614357,3.417176851,2.104097662,1.00085646,1.475487225,1.262515335
-2.5707887,-1.291983108,0.398639785,-1.69806822,0.832845977,-1.702126861,2.833192523,1.402879045,0.189112226,1.472653282,0.663775371
-3.191477593,-1.740550031,0.07216654,-3.000156162,0.42393967,-2.445842722,2.424559755,0.716583932,-0.628827266,1.454274209,0.367388579
