log10(Pd),log10(Pv),log10(Pa),log10(IV2),log10(CAV),log10(Ia),log10(AAS),log10(AVS),log10(ADS),log10(Epi),log10(PGV)
-3.113495845,-1.6162357,-1.119353802,-2.844508384,-0.602860833,-4.318131102,1.397721523,0.838440368,-0.53074304,1.307218344,-1.258082506
-2.708328003,-1.215999671,-0.5710676,-2.203625735,-0.080710332,-3.320778831,1.92006801,1.082595904,-0.153754316,1.326701154,-0.84636022
-2.570831796,-1.5616507,-0.767787177,-3.005266421,-0.386997852,-4.137096462,1.613799165,0.792746021,-0.210285878,2.029192109,-0.765275552
-2.999730512,-1.601050735,-0.882734423,-3.441217437,-0.549929817,-4.512171038,1.450782786,0.572056135,-0.452121561,1.943803867,-0.855217399
-2.419457459,-1.00179685,-0.221768326,-1.920278836,0.05062001,-3.117215486,2.050992821,1.277869296,-0.003380983,1.235593834,-0.799693273
-2.778891452,-2.28209058,-1.664509741,-4.030961021,-1.366466552,-6.126655092,0.633866839,0.28376907,0.066281201,1.957893989,-1.322277435
-2.457725883,-1.59003681,-0.736396768,-2.581826723,-0.100662301,-3.585555186,1.899771288,1.004844359,0.189611204,2.313294181,-1.169505501
-1.807526937,-1.113813627,-0.24185955,-2.119254345,0.045224362,-3.230519883,2.045808581,1.22823911,0.601396199,2.253355318,-0.368852079
-3.402721844,-2.178355013,-1.638198022,-4.137646787,-1.382891319,-6.100575696,0.617842608,0.219299198,-0.939286255,1.989474446,-0.849356609
-3.297209169,-2.271903875,-1.504018105,-4.053949642,-1.095128874,-5.595642369,0.905610799,0.256587252,-0.66551068,1.880487338,-1.043665878
-3.01004792,-2.144172662,-1.450012275,-3.772057365,-1.041224671,-5.497557834,0.959094869,0.407273333,-0.54495483,2.012669095,-1.114053068
-2.361121063,-1.395058312,-0.464879768,-2.035810807,0.149036824,-3.087434692,2.149667006,1.269960246,0.417444503,2.088402273,-0.077378312
-1.948272389,-1.244908485,-0.245424423,-1.690510258,0.316702748,-2.71836672,2.317168367,1.457817295,0.726535785,2.387351801,-0.797251491
-2.179667444,-2.09000184,-1.81002399,-4.092747009,-1.270131243,-5.944984889,0.730488866,0.268267617,0.279173217,1.954720982,-1.339755605
-2.499382192,-1.568106856,-0.689657296,-2.416225704,0.0850969,-3.180470543,2.085880574,1.085128561,0.176349906,2.117688217,-0.471972778
-1.973262195,-1.3481225,-0.469965358,-1.832304302,0.374269103,-2.662342276,2.375139571,1.401994489,0.673073389,2.384549194,-0.977482475
-2.181251818,-0.89557056,0.065075898,-1.181221343,0.785149384,-1.815613341,2.785724743,1.715615276,0.534399733,2.161211249,-0.570225129
-3.441429425,-2.076680076,-1.761579554,-4.011355265,-1.056215397,-5.466037902,0.944455651,0.279288271,-0.486521011,2.006798037,-0.968517099
-3.548428407,-2.326808432,-1.791129558,-4.458563883,-1.066111659,-5.499349878,0.934141349,0.073423269,-0.780121971,1.901416294,-1.198348822
-3.524045194,-2.504026272,-2.16058689,-4.837463073,-1.319639634,-6.029824349,0.681017188,-0.115778832,-0.820973773,1.949732545,-1.191650014
-3.240868866,-2.461802149,-2.094365613,-4.661589141,-1.338811871,-6.066034085,0.661584845,-0.023412262,-0.478139545,1.968385573,-1.161867283
-1.983085896,-1.211360248,-0.341530498,-2.119134213,0.076198361,-3.061881117,2.078232669,1.175045321,0.480652759,2.290895729,-0.189687274
-1.29147931,-0.813579024,0.031693943,-0.878531391,0.893181522,-1.605168894,2.893633713,1.877317216,1.328809512,2.334622343,-0.529456865
-2.798977916,-1.453896926,-0.560577102,-2.20155623,0.29825355,-2.796532605,2.298843929,1.198378895,0.054799907,2.119784057,-1.067956892
-3.308976281,-1.623655864,-1.544537969,-3.227946142,-0.91442168,-4.654871229,1.087585087,0.453644352,-0.754750516,1.559118739,-1.31337182
-2.846090494,-1.05283184,-1.282493635,-2.485397462,-0.668499275,-4.203671709,1.333606421,0.895438089,-0.551450106,1.542743896,-0.925650976
-3.360505202,-1.724546415,-1.7257396,-3.429418166,-1.000133719,-5.020474598,1.001415208,0.446506813,-0.760544953,1.557161776,-1.333244135
-3.446005813,-1.818250683,-1.499194618,-3.075573136,-0.843178286,-4.558318224,1.157243288,0.579447352,-0.803345564,1.541569033,-1.198918669
-3.022710931,-1.79411025,-1.203929674,-3.153796409,-0.531581958,-4.332975716,1.470951242,0.700328222,-0.361437014,1.578078247,-0.998389417
-3.362266714,-1.498681731,-1.581216523,-2.913628613,-0.764651932,-4.339859373,1.236707447,0.592831372,-0.715575756,1.56637976,-1.120899741
-2.793602679,-1.44817827,-0.872212372,-2.714646851,-0.488081266,-3.926346606,1.512935476,0.810814626,-0.50363197,1.576770816,-1.04360968
-3.220384455,-1.572329379,-1.409554868,-2.750016878,-0.895729429,-4.359848598,1.111248703,0.637820005,-0.749020023,1.598443343,-0.879072387
-2.794995529,-1.603448219,-1.008079841,-3.056507312,-0.651909142,-4.700564366,1.348667625,0.777353643,-0.145928451,1.6489948,-0.67541001
-3.759338364,-2.194833674,-1.641149642,-4.205809389,-1.103448977,-5.61609574,0.896841155,0.197943528,-1.049027995,1.653859725,-1.257455669
-1.544811732,-0.42711444,0.402304983,0.23928294,1.121808248,-0.808450495,3.121965154,2.269830292,1.064158306,1.186404644,0.476794994
-2.470162607,-0.79019451,-0.496577677,-0.972901712,0.391106015,-2.247835433,2.391158563,1.676489331,0.280605393,1.18451082,-0.190625824
-2.555186051,-1.512640923,-0.71499361,-2.610978229,-0.470467545,-4.310772776,1.531428926,0.92210028,-0.190728518,1.619843743,-0.580345867
-1.482433885,-1.195266603,-0.522599022,-2.129449839,-0.198479212,-3.692848554,1.802248815,1.205573689,1.077543893,2.567711278,-0.025076837
-2.631884078,-1.806526896,-1.058090801,-3.455179341,-0.578582957,-4.469714735,1.421906893,0.552034543,0.022535382,1.878393432,-0.884856017
